"Permutation","Count"
"BSEffectShaderProperty|Default|SPF1=3758096464|SPF2=1073741856","19"
"BSEffectShaderProperty|Default|SPF1=2684354624|SPF2=1073741856","19"
"BSLightingShaderProperty|Default|SPF1=2151678464|SPF2=536870961","19"
"BSLightingShaderProperty|Default|SPF1=2151677954|SPF2=ZBuffer_Write","19"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=25","19"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353005185|SPF2=129","19"
"BSLightingShaderProperty|HairTint|SPF1=2151678489|SPF2=ZBuffer_Write","19"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=2097153","19"
"BSEffectShaderProperty|Default|SPF1=2147483712|SPF2=48","18"
"BSLightingShaderProperty|Default|SPF1=2151678472|SPF2=33","18"
"BSLightingShaderProperty|Default|SPF1=2151677961|SPF2=33","18"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=67108913","18"
"BSLightingShaderProperty|Default|SPF1=2353005057|SPF2=67108905","18"
"BSLightingShaderProperty|Default|SPF1=2151678720|SPF2=41","17"
"BSLightingShaderProperty|Default|SPF1=2151776769|SPF2=33","17"
"BSLightingShaderProperty|Default|SPF1=2151711233|SPF2=33","17"
"BSEffectShaderProperty|Default|SPF1=2147483840|SPF2=0","17"
"BSEffectShaderProperty|Default|SPF1=2147483760|SPF2=48","16"
"BSEffectShaderProperty|Default|SPF1=2684354688|SPF2=Effect_Lighting","16"
"BSLightingShaderProperty|Default|SPF1=2151678464|SPF2=49","16"
"BSEffectShaderProperty|Default|SPF1=2147483776|SPF2=0","16"
"BSEffectShaderProperty|Default|SPF1=3758096496|SPF2=1073741872","16"
"BSLightingShaderProperty|Default|SPF1=2151678472|SPF2=17","16"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353004673|SPF2=41","16"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678849|SPF2=67108865","15"
"BSLightingShaderProperty|GlowShader|SPF1=2151678465|SPF2=193","15"
"BSEffectShaderProperty|Default|SPF1=3221225496|SPF2=Vertex_Colors","15"
"BSLightingShaderProperty|Default|SPF1=2151678473|SPF2=129","15"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678592|SPF2=ZBuffer_Write","15"
"BSLightingShaderProperty|Default|SPF1=2353005057|SPF2=161","15"
"BSEffectShaderProperty|Default|SPF1=2147483720|SPF2=Vertex_Colors","15"
"BSEffectShaderProperty|Default|SPF1=3221225472|SPF2=48","15"
"BSLightingShaderProperty|GlowShader|SPF1=2151678473|SPF2=113","15"
"BSEffectShaderProperty|Default|SPF1=3221225488|SPF2=48","15"
"BSLightingShaderProperty|Default|SPF1=2353005059|SPF2=ZBuffer_Write","14"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678601|SPF2=49","14"
"BSEffectShaderProperty|Default|SPF1=2684354736|SPF2=1073741856","14"
"BSLightingShaderProperty|Default|SPF1=2353005065|SPF2=161","14"
"BSLightingShaderProperty|HairTint|SPF1=2353266715|SPF2=2097312","14"
"BSLightingShaderProperty|Default|SPF1=2151678483|SPF2=Double_Sided","14"
"BSLightingShaderProperty|HairTint|SPF1=2151678481|SPF2=33","14"
"BSEffectShaderProperty|Default|SPF1=3221225536|SPF2=Vertex_Colors","13"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678611|SPF2=49","13"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=153","13"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=536870945","13"
"BSEffectShaderProperty|Default|SPF1=2885681160|SPF2=1073741872","13"
"BSLightingShaderProperty|Default|SPF1=2353005056|SPF2=137","13"
"BSLightingShaderProperty|GlowShader|SPF1=2688548864|SPF2=65","13"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678083|SPF2=129","13"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678081|SPF2=169","13"
"BSEffectShaderProperty|Default|SPF1=3758096472|SPF2=1073741856","13"
"BSEffectShaderProperty|Default|SPF1=2147483784|SPF2=33","13"
"BSEffectShaderProperty|Default|SPF1=3221225472|SPF2=0","12"
"BSEffectShaderProperty|Default|SPF1=2147483784|SPF2=Vertex_Colors","12"
"BSEffectShaderProperty|Default|SPF1=2684354752|SPF2=1073742000","12"
"BSLightingShaderProperty|Default|SPF1=2353005312|SPF2=9","12"
"BSEffectShaderProperty|Default|SPF1=2684354696|SPF2=1073741857","12"
"BSEffectShaderProperty|Default|SPF1=2684354560|SPF2=1073741864","12"
"BSEffectShaderProperty|Default|SPF1=2147483672|SPF2=Vertex_Colors","12"
"BSLightingShaderProperty|Default|SPF1=2152202753|SPF2=33554433","11"
"BSEffectShaderProperty|Default|SPF1=2348810240|SPF2=48","11"
"BSEffectShaderProperty|Default|SPF1=3221225544|SPF2=48","11"
"BSLightingShaderProperty|Default|SPF1=2353005056|SPF2=129","11"
"BSEffectShaderProperty|Default|SPF1=2147483656|SPF2=48","11"
"BSLightingShaderProperty|Default|SPF1=2353005058|SPF2=9","11"
"BSEffectShaderProperty|Default|SPF1=3758096512|SPF2=1073741856","11"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353004673|SPF2=ZBuffer_Write","11"
